,date,open,close,high,low,volume,code
0,2017-01-03,12.312,12.38,12.486,12.281,162371.0,600000
1,2017-01-04,12.372,12.403,12.418,12.289,296587.0,600000
2,2017-01-05,12.38,12.38,12.441,12.334,264376.0,600000
3,2017-01-06,12.38,12.289,12.38,12.251,171955.0,600000
4,2017-01-09,12.334,12.304,12.372,12.251,149087.0,600000
5,2017-01-10,12.289,12.296,12.334,12.258,79967.0,600000
6,2017-01-11,12.334,12.274,12.334,12.266,91933.0,600000
7,2017-01-12,12.289,12.243,12.304,12.236,82961.0,600000
8,2017-01-13,12.228,12.357,12.372,12.228,190341.0,600000
9,2017-01-16,12.327,12.577,12.608,12.228,533047.0,600000
10,2017-01-17,12.501,12.456,12.562,12.433,125552.0,600000
11,2017-01-18,12.471,12.517,12.57,12.425,114786.0,600000
12,2017-01-19,12.479,12.562,12.638,12.479,121806.0,600000
13,2017-01-20,12.593,12.608,12.653,12.532,142882.0,600000
14,2017-01-23,12.653,12.585,12.676,12.539,146165.0,600000
15,2017-01-24,12.593,12.676,12.684,12.593,149852.0,600000
16,2017-01-25,12.676,12.676,12.714,12.615,112848.0,600000
17,2017-01-26,12.676,12.714,12.79,12.615,86029.0,600000
18,2017-02-03,12.775,12.631,12.798,12.623,81742.0,600000
19,2017-02-06,12.722,12.653,12.744,12.653,134558.0,600000
20,2017-02-07,12.646,12.661,12.714,12.631,147592.0,600000
21,2017-02-08,12.631,12.661,12.676,12.562,112388.0,600000
22,2017-02-09,12.669,12.699,12.737,12.6,113930.0,600000
23,2017-02-10,12.729,12.744,12.79,12.684,139852.0,600000
24,2017-02-13,12.82,12.798,12.836,12.744,199928.0,600000
25,2017-02-14,12.813,12.722,12.82,12.714,129872.0,600000
26,2017-02-15,12.775,12.79,12.858,12.722,256880.0,600000
27,2017-02-16,12.82,12.744,12.843,12.729,163278.0,600000
28,2017-02-17,12.744,12.638,12.775,12.6,138636.0,600000
29,2017-02-20,12.623,12.843,12.896,12.623,299499.0,600000
30,2017-02-21,12.82,12.82,12.972,12.767,175091.0,600000
31,2017-02-22,12.82,12.722,12.836,12.706,170322.0,600000
32,2017-02-23,12.744,12.676,12.782,12.638,150111.0,600000
33,2017-02-24,12.661,12.691,12.722,12.653,115949.0,600000
34,2017-02-27,12.676,12.6,12.699,12.555,137322.0,600000
35,2017-02-28,12.593,12.6,12.661,12.555,120979.0,600000
36,2017-03-01,12.593,12.577,12.623,12.547,162269.0,600000
37,2017-03-02,12.623,12.463,12.623,12.448,189966.0,600000
38,2017-03-03,12.471,12.418,12.479,12.395,124294.0,600000
39,2017-03-06,12.433,12.463,12.555,12.418,157037.0,600000
40,2017-03-07,12.441,12.479,12.494,12.433,93198.0,600000
41,2017-03-08,12.456,12.448,12.486,12.418,101096.0,600000
42,2017-03-09,12.433,12.319,12.456,12.319,173660.0,600000
43,2017-03-10,12.327,12.327,12.365,12.281,163963.0,600000
44,2017-03-13,12.327,12.41,12.41,12.274,179501.0,600000
45,2017-03-14,12.41,12.35,12.418,12.334,169889.0,600000
46,2017-03-15,12.334,12.334,12.365,12.281,189003.0,600000
47,2017-03-16,12.357,12.372,12.418,12.342,190365.0,600000
48,2017-03-17,12.38,12.304,12.395,12.258,215603.0,600000
49,2017-03-20,12.334,12.258,12.342,12.251,150178.0,600000
50,2017-03-21,12.266,12.152,12.274,12.137,311246.0,600000
51,2017-03-22,12.137,11.985,12.137,11.924,438114.0,600000
52,2017-03-23,12.0,12.061,12.091,11.993,222256.0,600000
53,2017-03-24,12.038,12.122,12.152,12.023,199020.0,600000
54,2017-03-27,12.129,12.182,12.251,12.076,189973.0,600000
55,2017-03-28,12.236,12.16,12.251,12.129,132129.0,600000
56,2017-03-29,12.16,12.053,12.236,12.0,234467.0,600000
57,2017-03-30,12.061,12.008,12.076,11.939,236451.0,600000
58,2017-03-31,11.985,12.16,12.19,11.977,241871.0,600000
59,2017-04-05,12.19,12.274,12.304,12.069,310362.0,600000
60,2017-04-06,12.22,12.228,12.289,12.175,223354.0,600000
61,2017-04-07,12.198,12.228,12.274,12.167,201269.0,600000
62,2017-04-10,12.243,12.129,12.243,12.106,161540.0,600000
63,2017-04-11,12.129,12.069,12.144,12.008,186113.0,600000
64,2017-04-12,12.061,12.069,12.122,11.962,222105.0,600000
65,2017-04-13,12.061,11.962,12.069,11.947,234266.0,600000
66,2017-04-14,11.97,11.78,11.985,11.712,401565.0,600000
67,2017-04-17,11.795,11.818,11.848,11.62,367394.0,600000
68,2017-04-18,11.772,11.62,11.787,11.62,228899.0,600000
69,2017-04-19,11.582,11.476,11.598,11.476,244554.0,600000
70,2017-04-20,11.484,11.324,11.499,11.317,410614.0,600000
71,2017-04-21,11.332,11.431,11.446,11.279,226883.0,600000
72,2017-04-24,11.431,11.393,11.476,11.324,176278.0,600000
73,2017-04-25,11.408,11.431,11.468,11.385,129759.0,600000
74,2017-04-26,11.438,11.431,11.476,11.393,149398.0,600000
75,2017-04-27,11.431,11.552,11.582,11.415,228876.0,600000
76,2017-04-28,11.506,11.552,11.56,11.453,157185.0,600000
77,2017-05-02,11.552,11.514,11.56,11.491,126075.0,600000
78,2017-05-03,11.514,11.453,11.514,11.431,142479.0,600000
79,2017-05-04,11.446,11.377,11.446,11.317,194777.0,600000
80,2017-05-05,11.355,11.332,11.377,11.028,401945.0,600000
81,2017-05-08,11.225,11.286,11.317,11.02,435685.0,600000
82,2017-05-09,11.157,11.21,11.271,11.134,192254.0,600000
83,2017-05-10,11.21,11.096,11.279,11.051,283594.0,600000
84,2017-05-11,11.066,11.203,11.233,11.051,273129.0,600000
85,2017-05-12,11.203,11.552,11.567,11.187,457334.0,600000
86,2017-05-15,11.598,11.598,11.719,11.514,299658.0,600000
87,2017-05-16,11.567,11.598,11.613,11.453,248753.0,600000
88,2017-05-17,11.575,11.552,11.59,11.446,334344.0,600000
89,2017-05-18,11.468,11.4,11.499,11.355,306579.0,600000
90,2017-05-19,11.423,11.408,11.453,11.324,286106.0,600000
91,2017-05-22,11.408,11.423,11.438,11.339,302272.0,600000
92,2017-05-23,11.393,11.719,11.825,11.377,754004.0,600000
93,2017-05-24,11.681,11.75,11.787,11.552,704390.0,600000
94,2017-05-25,11.75,12.93,12.93,11.72,2223734.0,600000
95,2017-05-26,12.81,12.84,12.91,12.54,1764566.0,600000
96,2017-05-31,12.75,12.84,13.05,12.66,1130098.0,600000
97,2017-06-01,12.78,12.92,12.97,12.69,962170.0,600000
98,2017-06-02,12.93,12.89,13.01,12.74,801977.0,600000
99,2017-06-05,12.79,12.85,12.88,12.51,758764.0,600000
100,2017-06-06,12.8,12.8,12.84,12.66,361044.0,600000
101,2017-06-07,12.81,12.84,12.99,12.78,643951.0,600000
102,2017-06-08,12.76,12.84,12.86,12.67,481948.0,600000
103,2017-06-09,12.79,12.93,13.2,12.77,1144343.0,600000
104,2017-06-12,12.9,12.78,13.14,12.76,739311.0,600000
105,2017-06-13,12.78,12.59,12.78,12.56,527160.0,600000
106,2017-06-14,12.6,12.46,12.64,12.31,553069.0,600000
107,2017-06-15,12.41,12.38,12.46,12.28,374928.0,600000
108,2017-06-16,12.38,12.35,12.46,12.27,473510.0,600000
109,2017-06-19,12.36,12.4,12.43,12.3,329412.0,600000
110,2017-06-20,12.41,12.29,12.44,12.22,446451.0,600000
111,2017-06-21,12.4,12.34,12.4,12.26,340000.0,600000
112,2017-06-22,12.33,12.57,12.84,12.29,1102594.0,600000
113,2017-06-23,12.55,12.64,12.65,12.36,685790.0,600000
114,2017-06-26,12.64,12.64,12.82,12.55,605091.0,600000
115,2017-06-27,12.64,12.7,12.73,12.53,466874.0,600000
116,2017-06-28,12.66,12.79,12.91,12.6,753495.0,600000
117,2017-06-29,12.81,12.76,12.86,12.7,389945.0,600000
118,2017-06-30,12.7,12.65,12.73,12.59,365664.0,600000
119,2017-07-03,12.64,12.56,12.65,12.47,387789.0,600000
120,2017-07-04,12.55,12.55,12.58,12.41,366591.0,600000
121,2017-07-05,12.5,12.62,12.65,12.47,264705.0,600000
122,2017-07-06,12.62,12.66,12.72,12.51,374142.0,600000
123,2017-07-07,12.62,12.6,12.69,12.55,246672.0,600000
124,2017-07-10,12.59,12.53,12.64,12.52,264115.0,600000
125,2017-07-11,12.51,12.8,12.94,12.51,968353.0,600000
126,2017-07-12,12.8,12.86,13.06,12.74,804690.0,600000
127,2017-07-13,12.82,13.27,13.29,12.77,1102192.0,600000
128,2017-07-14,13.34,13.59,13.8,13.34,1468653.0,600000
